股票代码,industry
600000,未知
600009,未知
600010,未知
600011,未知
600015,未知
600016,未知
600018,未知
600019,未知
600023,未知
600025,未知
600026,未知
600027,未知
600028,未知
600029,未知
600030,未知
600031,未知
600036,未知
600039,未知
600048,未知
600050,未知
600061,未知
600066,未知
600085,未知
600089,未知
600104,未知
600111,未知
600115,未知
600118,未知
600150,未知
600160,未知
600176,未知
600183,未知
600188,未知
600196,未知
600219,未知
600221,未知
600233,未知
600276,未知
600309,未知
600346,未知
600362,未知
600372,未知
600406,未知
600415,未知
600426,未知
600436,未知
600438,未知
600460,未知
600482,未知
600489,未知
600515,未知
600519,未知
600522,未知
600547,未知
600549,未知
600570,未知
600584,未知
600585,未知
600588,未知
600600,未知
600660,未知
600674,未知
600690,未知
600741,未知
600760,未知
600795,未知
600803,未知
600809,未知
600845,未知
600875,未知
600886,未知
600887,未知
600893,未知
600900,未知
600905,未知
600918,未知
600919,未知
600926,未知
600930,未知
600938,未知
600941,未知
600958,未知
600989,未知
600999,未知
601006,未知
601009,未知
601012,未知
601018,未知
601021,未知
601058,未知
601059,未知
601066,未知
601077,未知
601088,未知
601100,未知
601111,未知
601117,未知
601127,未知
601136,未知
601138,未知
601166,未知
601169,未知
601186,未知
601211,未知
601225,未知
601229,未知
601238,未知
601288,未知
601318,未知
601319,未知
601328,未知
601336,未知
601360,未知
601377,未知
601390,未知
601398,未知
601456,未知
601600,未知
601601,未知
601607,未知
601618,未知
601628,未知
601633,未知
601658,未知
601668,未知
601669,未知
601688,未知
601689,未知
601698,未知
601727,未知
601728,未知
601766,未知
601788,未知
601800,未知
601816,未知
601818,未知
601825,未知
601838,未知
601857,未知
601868,未知
601872,未知
601877,未知
601878,未知
601881,未知
601888,未知
601898,未知
601899,未知
601901,未知
601916,未知
601919,未知
601939,未知
601985,未知
601988,未知
601995,未知
601998,未知
603019,未知
603259,未知
603260,未知
603288,未知
603296,未知
603369,未知
603392,未知
603501,未知
603799,未知
603893,未知
603986,未知
603993,未知
605117,未知
605499,未知
688008,未知
688009,未知
688012,未知
688036,未知
688041,未知
688047,未知
688072,未知
688082,未知
688111,未知
688126,未知
688183,未知
688223,未知
688256,未知
688271,未知
688303,未知
688396,未知
688472,未知
688506,未知
688521,未知
688981,未知
000001,未知
000002,未知
000063,未知
000100,未知
000157,未知
000166,未知
000301,未知
000333,未知
000338,未知
000408,未知
000425,未知
000538,未知
000568,未知
000596,未知
000617,未知
000625,未知
000630,未知
000651,未知
000657,未知
000708,未知
000725,未知
000768,未知
000776,未知
000792,未知
000807,未知
000858,未知
000895,未知
000938,未知
000963,未知
000975,未知
000977,未知
000988,未知
000999,未知
001280,未知
001391,未知
001965,未知
001979,未知
002001,未知
002027,未知
002028,未知
002049,未知
002050,未知
002074,未知
002142,未知
002179,未知
002202,未知
002230,未知
002236,未知
002241,未知
002304,未知
002311,未知
002352,未知
002353,未知
002371,未知
002384,未知
002415,未知
002422,未知
002460,未知
002463,未知
002466,未知
002475,未知
002493,未知
002532,未知
002558,未知
002594,未知
002600,未知
002602,未知
002625,未知
002648,未知
002709,未知
002714,未知
002736,未知
002837,未知
002916,未知
002920,未知
002938,未知
003816,未知
300014,未知
300015,未知
300033,未知
300059,未知
300122,未知
300124,未知
300251,未知
300274,未知
300308,未知
300316,未知
300394,未知
300408,未知
300413,未知
300418,未知
300433,未知
300442,未知
300450,未知
300476,未知
300498,未知
300502,未知
300628,未知
300661,未知
300750,未知
300760,未知
300803,未知
300832,未知
300866,未知
300896,未知
300999,未知
301165,未知
301236,未知
301269,未知
301308,未知
302132,未知
